time_s,flow_Lps
0.0000,8.84647
0.0050,8.77002
0.0100,8.69424
0.0150,8.61912
0.0200,8.54464
0.0250,8.47081
0.0300,8.39761
0.0350,8.32505
0.0400,8.25311
0.0450,8.18180
0.0500,8.11110
0.0550,8.04101
0.0600,7.97153
0.0650,7.90265
0.0700,7.83437
0.0750,7.76667
0.0801,7.69956
0.0851,7.63303
0.0901,7.56707
0.0951,7.50169
0.1001,7.43687
0.1051,7.37260
0.1101,7.30890
0.1151,7.24574
0.1201,7.18313
0.1251,7.12106
0.1301,7.05953
0.1351,6.99853
0.1401,6.93806
0.1451,6.87811
0.1501,6.81867
0.1551,6.75976
0.1601,6.70134
0.1651,6.64344
0.1701,6.58603
0.1751,6.52913
0.1801,6.47271
0.1851,6.41678
0.1901,6.36133
0.1951,6.30636
0.2001,6.25187
0.2051,6.19785
0.2101,6.14429
0.2151,6.09120
0.2201,6.03857
0.2251,5.98639
0.2301,5.93466
0.2351,5.88338
0.2402,5.83254
0.2452,5.78215
0.2502,5.73218
0.2552,5.68265
0.2602,5.63355
0.2652,5.58487
0.2702,5.53661
0.2752,5.48877
0.2802,5.44134
0.2852,5.39433
0.2902,5.34771
0.2952,5.30150
0.3002,5.25569
0.3052,5.21028
0.3102,5.16526
0.3152,5.12063
0.3202,5.07638
0.3252,5.03252
0.3302,4.98903
0.3352,4.94592
0.3402,4.90318
0.3452,4.86082
0.3502,4.81881
0.3552,4.77718
0.3602,4.73590
0.3652,4.69497
0.3702,4.65441
0.3752,4.61419
0.3802,4.57432
0.3852,4.53479
0.3902,4.49561
0.3952,4.45676
0.4003,4.41825
0.4053,4.38007
0.4103,4.34222
0.4153,4.30470
0.4203,4.26751
0.4253,4.23063
0.4303,4.19408
0.4353,4.15784
0.4403,4.12191
0.4453,4.08629
0.4503,4.05098
0.4553,4.01598
0.4603,3.98128
0.4653,3.94687
0.4703,3.91277
0.4753,3.87896
0.4803,3.84544
0.4853,3.81221
0.4903,3.77927
0.4953,3.74662
0.5003,3.71424
0.5053,3.68215
0.5103,3.65033
0.5153,3.61879
0.5203,3.58752
0.5253,3.55652
0.5303,3.52579
0.5353,3.49532
0.5403,3.46512
0.5453,3.43518
0.5503,3.40550
0.5553,3.37607
0.5604,3.34690
0.5654,3.31798
0.5704,3.28931
0.5754,3.26088
0.5804,3.23271
0.5854,3.20477
0.5904,3.17708
0.5954,3.14963
0.6004,3.12241
0.6054,3.09543
0.6104,3.06869
0.6154,3.04217
0.6204,3.01588
0.6254,2.98982
0.6304,2.96399
0.6354,2.93838
0.6404,2.91299
0.6454,2.88782
0.6504,2.86286
0.6554,2.83813
0.6604,2.81360
0.6654,2.78929
0.6704,2.76519
0.6754,2.74129
0.6804,2.71761
0.6854,2.69412
0.6904,2.67084
0.6954,2.64777
0.7004,2.62489
0.7054,2.60221
0.7104,2.57972
0.7154,2.55743
0.7205,2.53533
0.7255,2.51342
0.7305,2.49171
0.7355,2.47017
0.7405,2.44883
0.7455,2.42767
0.7505,2.40669
0.7555,2.38590
0.7605,2.36528
0.7655,2.34484
0.7705,2.32458
0.7755,2.30449
0.7805,2.28458
0.7855,2.26484
0.7905,2.24527
0.7955,2.22587
0.8005,2.20664
0.8055,2.18757
0.8105,2.16867
0.8155,2.14993
0.8205,2.13135
0.8255,2.11293
0.8305,2.09468
0.8355,2.07658
0.8405,2.05863
0.8455,2.04084
0.8505,2.02321
0.8555,2.00573
0.8605,1.98840
0.8655,1.97121
0.8705,1.95418
0.8755,1.93730
0.8806,1.92056
0.8856,1.90396
0.8906,1.88751
0.8956,1.87120
0.9006,1.85503
0.9056,1.83900
0.9106,1.82311
0.9156,1.80736
0.9206,1.79174
0.9256,1.77626
0.9306,1.76091
0.9356,1.74569
0.9406,1.73061
0.9456,1.71565
0.9506,1.70083
0.9556,1.68613
0.9606,1.67156
0.9656,1.65712
0.9706,1.64280
0.9756,1.62861
0.9806,1.61453
0.9856,1.60058
0.9906,1.58675
0.9956,1.57304
1.0006,1.55945
1.0056,1.54597
1.0106,1.53261
1.0156,1.51937
1.0206,1.50624
1.0256,1.49323
1.0306,1.48032
1.0356,1.46753
1.0407,1.45485
1.0457,1.44228
1.0507,1.42982
1.0557,1.41746
1.0607,1.40522
1.0657,1.39307
1.0707,1.38104
1.0757,1.36910
1.0807,1.35727
1.0857,1.34554
1.0907,1.33392
1.0957,1.32239
1.1007,1.31097
1.1057,1.29964
1.1107,1.28841
1.1157,1.27727
1.1207,1.26624
1.1257,1.25530
1.1307,1.24445
1.1357,1.23370
1.1407,1.22304
1.1457,1.21247
1.1507,1.20199
1.1557,1.19160
1.1607,1.18131
1.1657,1.17110
1.1707,1.16098
1.1757,1.15095
1.1807,1.14100
1.1857,1.13114
1.1907,1.12137
1.1957,1.11168
1.2008,1.10208
1.2058,1.09255
1.2108,1.08311
1.2158,1.07375
1.2208,1.06447
1.2258,1.05528
1.2308,1.04616
1.2358,1.03712
1.2408,1.02816
1.2458,1.01927
1.2508,1.01047
1.2558,1.00173
1.2608,0.99308
1.2658,0.98450
1.2708,0.97599
1.2758,0.96756
1.2808,0.95920
1.2858,0.95091
1.2908,0.94269
1.2958,0.93455
1.3008,0.92647
1.3058,0.91846
1.3108,0.91053
1.3158,0.90266
1.3208,0.89486
1.3258,0.88713
1.3308,0.87946
1.3358,0.87186
1.3408,0.86433
1.3458,0.85686
1.3508,0.84946
1.3558,0.84212
1.3609,0.83484
1.3659,0.82763
1.3709,0.82048
