time_s,flow_Lps
0.0000,3.67314
0.0050,3.65849
0.0100,3.64390
0.0150,3.62938
0.0200,3.61490
0.0250,3.60049
0.0300,3.58614
0.0350,3.57184
0.0400,3.55760
0.0450,3.54341
0.0500,3.52928
0.0550,3.51521
0.0600,3.50120
0.0650,3.48724
0.0700,3.47333
0.0750,3.45949
0.0801,3.44569
0.0851,3.43195
0.0901,3.41827
0.0951,3.40464
0.1001,3.39107
0.1051,3.37755
0.1101,3.36408
0.1151,3.35067
0.1201,3.33731
0.1251,3.32400
0.1301,3.31075
0.1351,3.29755
0.1401,3.28440
0.1451,3.27131
0.1501,3.25826
0.1551,3.24527
0.1601,3.23233
0.1651,3.21945
0.1701,3.20661
0.1751,3.19383
0.1801,3.18109
0.1851,3.16841
0.1901,3.15578
0.1951,3.14319
0.2001,3.13066
0.2051,3.11818
0.2101,3.10575
0.2151,3.09336
0.2201,3.08103
0.2251,3.06875
0.2301,3.05651
0.2351,3.04432
0.2402,3.03219
0.2452,3.02010
0.2502,3.00806
0.2552,2.99606
0.2602,2.98412
0.2652,2.97222
0.2702,2.96037
0.2752,2.94857
0.2802,2.93681
0.2852,2.92510
0.2902,2.91344
0.2952,2.90182
0.3002,2.89025
0.3052,2.87873
0.3102,2.86725
0.3152,2.85582
0.3202,2.84443
0.3252,2.83309
0.3302,2.82180
0.3352,2.81054
0.3402,2.79934
0.3452,2.78818
0.3502,2.77706
0.3552,2.76599
0.3602,2.75496
0.3652,2.74398
0.3702,2.73304
0.3752,2.72214
0.3802,2.71129
0.3852,2.70048
0.3902,2.68971
0.3952,2.67898
0.4003,2.66830
0.4053,2.65766
0.4103,2.64707
0.4153,2.63651
0.4203,2.62600
0.4253,2.61553
0.4303,2.60510
0.4353,2.59472
0.4403,2.58437
0.4453,2.57407
0.4503,2.56380
0.4553,2.55358
0.4603,2.54340
0.4653,2.53326
0.4703,2.52316
0.4753,2.51310
0.4803,2.50308
0.4853,2.49310
0.4903,2.48316
0.4953,2.47326
0.5003,2.46340
0.5053,2.45358
0.5103,2.44379
0.5153,2.43405
0.5203,2.42435
0.5253,2.41468
0.5303,2.40505
0.5353,2.39546
0.5403,2.38591
0.5453,2.37640
0.5503,2.36693
0.5553,2.35749
0.5604,2.34809
0.5654,2.33873
0.5704,2.32940
0.5754,2.32011
0.5804,2.31086
0.5854,2.30165
0.5904,2.29247
0.5954,2.28333
0.6004,2.27423
0.6054,2.26516
0.6104,2.25613
0.6154,2.24714
0.6204,2.23818
0.6254,2.22925
0.6304,2.22036
0.6354,2.21151
0.6404,2.20269
0.6454,2.19391
0.6504,2.18516
0.6554,2.17645
0.6604,2.16777
0.6654,2.15913
0.6704,2.15052
0.6754,2.14195
0.6804,2.13341
0.6854,2.12490
0.6904,2.11643
0.6954,2.10799
0.7004,2.09959
0.7054,2.09122
0.7104,2.08288
0.7154,2.07457
0.7205,2.06630
0.7255,2.05806
0.7305,2.04986
0.7355,2.04168
0.7405,2.03354
0.7455,2.02544
0.7505,2.01736
0.7555,2.00932
0.7605,2.00131
0.7655,1.99333
0.7705,1.98538
0.7755,1.97746
0.7805,1.96958
0.7855,1.96173
0.7905,1.95391
0.7955,1.94611
0.8005,1.93836
0.8055,1.93063
0.8105,1.92293
0.8155,1.91526
0.8205,1.90763
0.8255,1.90002
0.8305,1.89245
0.8355,1.88490
0.8405,1.87738
0.8455,1.86990
0.8505,1.86244
0.8555,1.85502
0.8605,1.84762
0.8655,1.84026
0.8705,1.83292
0.8755,1.82561
0.8806,1.81833
0.8856,1.81108
0.8906,1.80386
0.8956,1.79667
0.9006,1.78951
0.9056,1.78237
0.9106,1.77526
0.9156,1.76819
0.9206,1.76114
0.9256,1.75411
0.9306,1.74712
0.9356,1.74015
0.9406,1.73322
0.9456,1.72631
0.9506,1.71942
0.9556,1.71257
0.9606,1.70574
0.9656,1.69894
0.9706,1.69216
0.9756,1.68542
0.9806,1.67870
0.9856,1.67201
0.9906,1.66534
0.9956,1.65870
1.0006,1.65209
1.0056,1.64550
1.0106,1.63894
1.0156,1.63240
1.0206,1.62589
1.0256,1.61941
1.0306,1.61296
1.0356,1.60652
1.0407,1.60012
1.0457,1.59374
1.0507,1.58739
1.0557,1.58106
1.0607,1.57475
1.0657,1.56847
1.0707,1.56222
1.0757,1.55599
1.0807,1.54979
1.0857,1.54361
1.0907,1.53745
1.0957,1.53132
1.1007,1.52522
1.1057,1.51914
1.1107,1.51308
1.1157,1.50705
1.1207,1.50104
1.1257,1.49505
1.1307,1.48909
1.1357,1.48316
1.1407,1.47724
1.1457,1.47135
1.1507,1.46549
1.1557,1.45964
1.1607,1.45382
1.1657,1.44803
1.1707,1.44225
1.1757,1.43650
1.1807,1.43078
1.1857,1.42507
1.1907,1.41939
1.1957,1.41373
1.2008,1.40809
1.2058,1.40248
1.2108,1.39689
1.2158,1.39132
1.2208,1.38577
1.2258,1.38025
1.2308,1.37474
1.2358,1.36926
1.2408,1.36380
1.2458,1.35837
1.2508,1.35295
1.2558,1.34755
1.2608,1.34218
1.2658,1.33683
1.2708,1.33150
1.2758,1.32619
1.2808,1.32090
1.2858,1.31564
1.2908,1.31039
1.2958,1.30517
1.3008,1.29996
1.3058,1.29478
1.3108,1.28962
1.3158,1.28448
1.3208,1.27936
1.3258,1.27425
1.3308,1.26917
1.3358,1.26411
1.3408,1.25907
1.3458,1.25405
1.3508,1.24905
1.3558,1.24407
1.3609,1.23911
1.3659,1.23417
1.3709,1.22925
1.3759,1.22435
1.3809,1.21947
1.3859,1.21461
1.3909,1.20976
1.3959,1.20494
1.4009,1.20014
1.4059,1.19535
1.4109,1.19059
1.4159,1.18584
1.4209,1.18111
1.4259,1.17640
1.4309,1.17171
1.4359,1.16704
1.4409,1.16239
1.4459,1.15775
1.4509,1.15314
1.4559,1.14854
1.4609,1.14396
1.4659,1.13940
1.4709,1.13486
1.4759,1.13033
1.4809,1.12582
1.4859,1.12134
1.4909,1.11686
1.4959,1.11241
1.5009,1.10798
1.5059,1.10356
1.5109,1.09916
1.5159,1.09478
1.5210,1.09041
1.5260,1.08606
1.5310,1.08173
1.5360,1.07742
1.5410,1.07312
1.5460,1.06885
1.5510,1.06458
1.5560,1.06034
1.5610,1.05611
1.5660,1.05190
1.5710,1.04771
1.5760,1.04353
1.5810,1.03937
1.5860,1.03523
1.5910,1.03110
1.5960,1.02699
1.6010,1.02289
1.6060,1.01881
1.6110,1.01475
1.6160,1.01071
1.6210,1.00668
1.6260,1.00266
1.6310,0.99866
1.6360,0.99468
1.6410,0.99072
1.6460,0.98677
1.6510,0.98283
1.6560,0.97891
1.6610,0.97501
1.6660,0.97112
1.6710,0.96725
1.6760,0.96340
1.6811,0.95955
1.6861,0.95573
1.6911,0.95192
1.6961,0.94812
1.7011,0.94434
1.7061,0.94058
1.7111,0.93683
1.7161,0.93309
1.7211,0.92937
1.7261,0.92567
1.7311,0.92198
1.7361,0.91830
1.7411,0.91464
1.7461,0.91099
1.7511,0.90736
1.7561,0.90374
1.7611,0.90014
1.7661,0.89655
1.7711,0.89297
1.7761,0.88941
1.7811,0.88587
1.7861,0.88234
1.7911,0.87882
1.7961,0.87531
1.8011,0.87182
1.8061,0.86835
1.8111,0.86489
1.8161,0.86144
1.8211,0.85800
1.8261,0.85458
1.8311,0.85118
1.8361,0.84778
1.8412,0.84440
1.8462,0.84103
1.8512,0.83768
1.8562,0.83434
1.8612,0.83101
1.8662,0.82770
1.8712,0.82440
