time_s,flow_Lps
0.0000,4.55309
0.0050,4.51008
0.0100,4.46747
0.0150,4.42527
0.0200,4.38347
0.0250,4.34206
0.0300,4.30104
0.0350,4.26041
0.0400,4.22016
0.0450,4.18030
0.0500,4.14081
0.0550,4.10169
0.0600,4.06294
0.0650,4.02456
0.0700,3.98654
0.0750,3.94888
0.0801,3.91158
0.0851,3.87463
0.0901,3.83803
0.0951,3.80177
0.1001,3.76586
0.1051,3.73028
0.1101,3.69504
0.1151,3.66014
0.1201,3.62556
0.1251,3.59131
0.1301,3.55739
0.1351,3.52378
0.1401,3.49049
0.1451,3.45752
0.1501,3.42486
0.1551,3.39250
0.1601,3.36046
0.1651,3.32871
0.1701,3.29727
0.1751,3.26612
0.1801,3.23526
0.1851,3.20470
0.1901,3.17443
0.1951,3.14444
0.2001,3.11474
0.2051,3.08531
0.2101,3.05617
0.2151,3.02730
0.2201,2.99870
0.2251,2.97037
0.2301,2.94231
0.2351,2.91452
0.2402,2.88698
0.2452,2.85971
0.2502,2.83270
0.2552,2.80594
0.2602,2.77943
0.2652,2.75317
0.2702,2.72717
0.2752,2.70140
0.2802,2.67588
0.2852,2.65061
0.2902,2.62557
0.2952,2.60076
0.3002,2.57620
0.3052,2.55186
0.3102,2.52775
0.3152,2.50387
0.3202,2.48022
0.3252,2.45679
0.3302,2.43358
0.3352,2.41059
0.3402,2.38782
0.3452,2.36526
0.3502,2.34292
0.3552,2.32079
0.3602,2.29886
0.3652,2.27715
0.3702,2.25564
0.3752,2.23433
0.3802,2.21322
0.3852,2.19231
0.3902,2.17160
0.3952,2.15109
0.4003,2.13077
0.4053,2.11064
0.4103,2.09070
0.4153,2.07095
0.4203,2.05139
0.4253,2.03201
0.4303,2.01281
0.4353,1.99380
0.4403,1.97497
0.4453,1.95631
0.4503,1.93783
0.4553,1.91952
0.4603,1.90139
0.4653,1.88343
0.4703,1.86564
0.4753,1.84801
0.4803,1.83055
0.4853,1.81326
0.4903,1.79613
0.4953,1.77916
0.5003,1.76236
0.5053,1.74571
0.5103,1.72922
0.5153,1.71288
0.5203,1.69670
0.5253,1.68067
0.5303,1.66480
0.5353,1.64907
0.5403,1.63349
0.5453,1.61806
0.5503,1.60278
0.5553,1.58764
0.5604,1.57264
0.5654,1.55778
0.5704,1.54307
0.5754,1.52849
0.5804,1.51405
0.5854,1.49975
0.5904,1.48558
0.5954,1.47155
0.6004,1.45764
0.6054,1.44387
0.6104,1.43023
0.6154,1.41672
0.6204,1.40334
0.6254,1.39008
0.6304,1.37695
0.6354,1.36394
0.6404,1.35106
0.6454,1.33830
0.6504,1.32565
0.6554,1.31313
0.6604,1.30073
0.6654,1.28844
0.6704,1.27627
0.6754,1.26421
0.6804,1.25227
0.6854,1.24044
0.6904,1.22872
0.6954,1.21711
0.7004,1.20562
0.7054,1.19423
0.7104,1.18295
0.7154,1.17177
0.7205,1.16070
0.7255,1.14974
0.7305,1.13888
0.7355,1.12812
0.7405,1.11746
0.7455,1.10690
0.7505,1.09645
0.7555,1.08609
0.7605,1.07583
0.7655,1.06567
0.7705,1.05560
0.7755,1.04563
0.7805,1.03575
0.7855,1.02597
0.7905,1.01627
0.7955,1.00667
0.8005,0.99716
0.8055,0.98774
0.8105,0.97841
0.8155,0.96917
0.8205,0.96002
0.8255,0.95095
0.8305,0.94196
0.8355,0.93307
0.8405,0.92425
0.8455,0.91552
0.8505,0.90687
0.8555,0.89830
0.8605,0.88982
0.8655,0.88141
0.8705,0.87309
0.8755,0.86484
0.8806,0.85667
0.8856,0.84858
0.8906,0.84056
0.8956,0.83262
0.9006,0.82475
0.9056,0.81696
0.9106,0.80925
0.9156,0.80160
0.9206,0.79403
0.9256,0.78653
0.9306,0.77910
0.9356,0.77174
0.9406,0.76445
0.9456,0.75723
0.9506,0.75007
0.9556,0.74299
0.9606,0.73597
0.9656,0.72902
0.9706,0.72213
0.9756,0.71531
0.9806,0.70855
0.9856,0.70186
0.9906,0.69523
0.9956,0.68866
1.0006,0.68215
1.0056,0.67571
1.0106,0.66933
1.0156,0.66300
1.0206,0.65674
1.0256,0.65054
1.0306,0.64439
1.0356,0.63830
1.0407,0.63227
1.0457,0.62630
1.0507,0.62038
1.0557,0.61452
1.0607,0.60872
1.0657,0.60297
1.0707,0.59727
1.0757,0.59163
1.0807,0.58604
1.0857,0.58051
1.0907,0.57502
1.0957,0.56959
1.1007,0.56421
1.1057,0.55888
1.1107,0.55360
1.1157,0.54837
1.1207,0.54319
1.1257,0.53806
1.1307,0.53298
1.1357,0.52794
1.1407,0.52295
1.1457,0.51801
1.1507,0.51312
1.1557,0.50827
1.1607,0.50347
1.1657,0.49871
1.1707,0.49400
1.1757,0.48934
1.1807,0.48471
1.1857,0.48014
1.1907,0.47560
1.1957,0.47111
1.2008,0.46666
1.2058,0.46225
1.2108,0.45788
1.2158,0.45356
1.2208,0.44927
1.2258,0.44503
1.2308,0.44082
1.2358,0.43666
1.2408,0.43253
1.2458,0.42845
1.2508,0.42440
1.2558,0.42039
1.2608,0.41642
1.2658,0.41249
1.2708,0.40859
1.2758,0.40473
1.2808,0.40091
1.2858,0.39712
1.2908,0.39337
1.2958,0.38965
1.3008,0.38597
1.3058,0.38233
1.3108,0.37871
1.3158,0.37514
1.3208,0.37159
1.3258,0.36808
1.3308,0.36460
1.3358,0.36116
1.3408,0.35775
1.3458,0.35437
1.3508,0.35102
1.3558,0.34771
1.3609,0.34442
1.3659,0.34117
1.3709,0.33794
1.3759,0.33475
1.3809,0.33159
1.3859,0.32846
1.3909,0.32535
1.3959,0.32228
1.4009,0.31924
1.4059,0.31622
1.4109,0.31323
1.4159,0.31027
1.4209,0.30734
1.4259,0.30444
1.4309,0.30156
1.4359,0.29872
1.4409,0.29589
1.4459,0.29310
1.4509,0.29033
1.4559,0.28759
1.4609,0.28487
1.4659,0.28218
1.4709,0.27951
1.4759,0.27687
1.4809,0.27426
1.4859,0.27167
1.4909,0.26910
1.4959,0.26656
1.5009,0.26404
1.5059,0.26155
1.5109,0.25908
1.5159,0.25663
1.5210,0.25420
1.5260,0.25180
1.5310,0.24942
1.5360,0.24707
1.5410,0.24473
1.5460,0.24242
1.5510,0.24013
1.5560,0.23786
1.5610,0.23562
1.5660,0.23339
1.5710,0.23119
1.5760,0.22900
1.5810,0.22684
1.5860,0.22470
1.5910,0.22257
1.5960,0.22047
1.6010,0.21839
1.6060,0.21632
1.6110,0.21428
1.6160,0.21226
1.6210,0.21025
1.6260,0.20827
1.6310,0.20630
1.6360,0.20435
1.6410,0.20242
1.6460,0.20051
1.6510,0.19861
1.6560,0.19674
1.6610,0.19488
1.6660,0.19304
1.6710,0.19121
1.6760,0.18941
1.6811,0.18762
1.6861,0.18585
1.6911,0.18409
1.6961,0.18235
1.7011,0.18063
1.7061,0.17892
1.7111,0.17723
1.7161,0.17556
1.7211,0.17390
1.7261,0.17226
1.7311,0.17063
1.7361,0.16902
1.7411,0.16742
1.7461,0.16584
1.7511,0.16427
1.7561,0.16272
1.7611,0.16118
1.7661,0.15966
1.7711,0.15815
1.7761,0.15666
1.7811,0.15518
1.7861,0.15371
1.7911,0.15226
1.7961,0.15082
1.8011,0.14940
1.8061,0.14799
1.8111,0.14659
1.8161,0.14520
1.8211,0.14383
1.8261,0.14247
1.8311,0.14113
1.8361,0.13979
1.8412,0.13847
1.8462,0.13717
1.8512,0.13587
1.8562,0.13459
1.8612,0.13331
1.8662,0.13206
1.8712,0.13081
1.8762,0.12957
1.8812,0.12835
1.8862,0.12714
1.8912,0.12593
1.8962,0.12474
1.9012,0.12357
1.9062,0.12240
1.9112,0.12124
1.9162,0.12010
1.9212,0.11896
1.9262,0.11784
1.9312,0.11673
1.9362,0.11562
1.9412,0.11453
1.9462,0.11345
1.9512,0.11238
1.9562,0.11132
1.9612,0.11026
1.9662,0.10922
1.9712,0.10819
1.9762,0.10717
1.9812,0.10616
1.9862,0.10515
1.9912,0.10416
1.9962,0.10318
2.0013,0.10220
2.0063,0.10124
2.0113,0.10028
2.0163,0.09933
2.0213,0.09839
2.0263,0.09746
2.0313,0.09654
2.0363,0.09563
2.0413,0.09473
2.0463,0.09383
2.0513,0.09295
2.0563,0.09207
2.0613,0.09120
2.0663,0.09034
2.0713,0.08948
2.0763,0.08864
2.0813,0.08780
2.0863,0.08697
2.0913,0.08615
2.0963,0.08534
2.1013,0.08453
2.1063,0.08373
2.1113,0.08294
2.1163,0.08216
2.1213,0.08138
2.1263,0.08061
2.1313,0.07985
2.1363,0.07910
2.1413,0.07835
2.1463,0.07761
2.1513,0.07688
2.1563,0.07615
2.1614,0.07543
2.1664,0.07472
2.1714,0.07401
2.1764,0.07331
2.1814,0.07262
2.1864,0.07193
2.1914,0.07126
2.1964,0.07058
2.2014,0.06992
2.2064,0.06925
2.2114,0.06860
2.2164,0.06795
2.2214,0.06731
2.2264,0.06667
2.2314,0.06605
2.2364,0.06542
2.2414,0.06480
2.2464,0.06419
2.2514,0.06358
2.2564,0.06298
2.2614,0.06239
2.2664,0.06180
2.2714,0.06122
2.2764,0.06064
2.2814,0.06006
2.2864,0.05950
2.2914,0.05894
2.2964,0.05838
2.3014,0.05783
2.3064,0.05728
2.3114,0.05674
2.3164,0.05620
2.3215,0.05567
2.3265,0.05515
2.3315,0.05463
2.3365,0.05411
2.3415,0.05360
2.3465,0.05309
2.3515,0.05259
2.3565,0.05209
2.3615,0.05160
2.3665,0.05111
2.3715,0.05063
2.3765,0.05015
2.3815,0.04968
2.3865,0.04921
2.3915,0.04875
2.3965,0.04828
2.4015,0.04783
2.4065,0.04738
2.4115,0.04693
2.4165,0.04649
2.4215,0.04605
2.4265,0.04561
2.4315,0.04518
2.4365,0.04475
2.4415,0.04433
2.4465,0.04391
2.4515,0.04350
2.4565,0.04309
2.4615,0.04268
2.4665,0.04228
2.4715,0.04188
2.4765,0.04148
2.4816,0.04109
2.4866,0.04070
2.4916,0.04032
2.4966,0.03994
2.5016,0.03956
2.5066,0.03919
2.5116,0.03882
2.5166,0.03845
2.5216,0.03809
2.5266,0.03773
2.5316,0.03737
2.5366,0.03702
2.5416,0.03667
2.5466,0.03632
2.5516,0.03598
2.5566,0.03564
2.5616,0.03530
2.5666,0.03497
2.5716,0.03464
2.5766,0.03431
2.5816,0.03399
2.5866,0.03366
2.5916,0.03335
2.5966,0.03303
2.6016,0.03272
2.6066,0.03241
2.6116,0.03210
2.6166,0.03180
2.6216,0.03150
2.6266,0.03120
2.6316,0.03091
2.6366,0.03062
2.6417,0.03033
2.6467,0.03004
2.6517,0.02976
2.6567,0.02948
2.6617,0.02920
2.6667,0.02892
2.6717,0.02865
2.6767,0.02838
2.6817,0.02811
2.6867,0.02784
2.6917,0.02758
2.6967,0.02732
2.7017,0.02706
2.7067,0.02681
2.7117,0.02655
2.7167,0.02630
2.7217,0.02605
2.7267,0.02581
2.7317,0.02556
2.7367,0.02532
2.7417,0.02508
2.7467,0.02485
2.7517,0.02461
2.7567,0.02438
2.7617,0.02415
2.7667,0.02392
2.7717,0.02369
2.7767,0.02347
2.7817,0.02325
2.7867,0.02303
2.7917,0.02281
2.7967,0.02260
2.8018,0.02238
2.8068,0.02217
2.8118,0.02196
2.8168,0.02175
2.8218,0.02155
2.8268,0.02135
2.8318,0.02114
2.8368,0.02094
2.8418,0.02075
2.8468,0.02055
2.8518,0.02036
2.8568,0.02016
2.8618,0.01997
2.8668,0.01978
2.8718,0.01960
2.8768,0.01941
2.8818,0.01923
2.8868,0.01905
2.8918,0.01887
2.8968,0.01869
2.9018,0.01851
2.9068,0.01834
2.9118,0.01816
2.9168,0.01799
2.9218,0.01782
2.9268,0.01765
2.9318,0.01749
2.9368,0.01732
2.9418,0.01716
2.9468,0.01700
2.9518,0.01684
2.9568,0.01668
2.9619,0.01652
2.9669,0.01636
2.9719,0.01621
2.9769,0.01606
2.9819,0.01590
2.9869,0.01575
2.9919,0.01561
2.9969,0.01546
3.0019,0.01531
3.0069,0.01517
3.0119,0.01502
3.0169,0.01488
3.0219,0.01474
3.0269,0.01460
3.0319,0.01446
3.0369,0.01433
3.0419,0.01419
3.0469,0.01406
3.0519,0.01393
3.0569,0.01379
3.0619,0.01366
3.0669,0.01353
3.0719,0.01341
3.0769,0.01328
3.0819,0.01315
3.0869,0.01303
3.0919,0.01291
3.0969,0.01279
3.1019,0.01266
3.1069,0.01254
3.1119,0.01243
3.1169,0.01231
3.1220,0.01219
3.1270,0.01208
3.1320,0.01196
3.1370,0.01185
3.1420,0.01174
3.1470,0.01163
3.1520,0.01152
3.1570,0.01141
3.1620,0.01130
3.1670,0.01119
3.1720,0.01109
3.1770,0.01098
3.1820,0.01088
3.1870,0.01078
3.1920,0.01068
3.1970,0.01057
3.2020,0.01047
3.2070,0.01038
3.2120,0.01028
3.2170,0.01018
3.2220,0.01008
3.2270,0.00999
3.2320,0.00990
3.2370,0.00980
3.2420,0.00971
3.2470,0.00962
3.2520,0.00953
3.2570,0.00944
3.2620,0.00935
3.2670,0.00926
3.2720,0.00917
3.2770,0.00908
3.2821,0.00900
3.2871,0.00891
3.2921,0.00883
3.2971,0.00875
3.3021,0.00866
3.3071,0.00858
3.3121,0.00850
3.3171,0.00842
3.3221,0.00834
3.3271,0.00826
3.3321,0.00818
3.3371,0.00811
3.3421,0.00803
3.3471,0.00795
3.3521,0.00788
3.3571,0.00780
3.3621,0.00773
3.3671,0.00766
3.3721,0.00759
3.3771,0.00751
3.3821,0.00744
3.3871,0.00737
3.3921,0.00730
3.3971,0.00723
3.4021,0.00717
3.4071,0.00710
3.4121,0.00703
3.4171,0.00696
3.4221,0.00690
3.4271,0.00683
3.4321,0.00677
3.4371,0.00671
3.4422,0.00664
3.4472,0.00658
3.4522,0.00652
3.4572,0.00646
3.4622,0.00639
3.4672,0.00633
3.4722,0.00627
3.4772,0.00621
3.4822,0.00616
3.4872,0.00610
3.4922,0.00604
3.4972,0.00598
3.5022,0.00593
3.5072,0.00587
3.5122,0.00582
3.5172,0.00576
3.5222,0.00571
3.5272,0.00565
3.5322,0.00560
3.5372,0.00555
3.5422,0.00549
3.5472,0.00544
3.5522,0.00539
3.5572,0.00534
3.5622,0.00529
3.5672,0.00524
3.5722,0.00519
3.5772,0.00514
3.5822,0.00509
3.5872,0.00504
3.5922,0.00500
3.5972,0.00495
3.6023,0.00490
3.6073,0.00486
3.6123,0.00481
3.6173,0.00476
3.6223,0.00472
3.6273,0.00467
3.6323,0.00463
3.6373,0.00459
3.6423,0.00454
3.6473,0.00450
3.6523,0.00446
3.6573,0.00442
3.6623,0.00437
3.6673,0.00433
3.6723,0.00429
3.6773,0.00425
3.6823,0.00421
3.6873,0.00417
3.6923,0.00413
3.6973,0.00409
3.7023,0.00405
3.7073,0.00402
3.7123,0.00398
3.7173,0.00394
3.7223,0.00390
3.7273,0.00387
3.7323,0.00383
3.7373,0.00379
3.7423,0.00376
3.7473,0.00372
3.7523,0.00369
3.7573,0.00365
3.7624,0.00362
3.7674,0.00358
3.7724,0.00355
3.7774,0.00352
3.7824,0.00348
3.7874,0.00345
3.7924,0.00342
3.7974,0.00339
3.8024,0.00335
3.8074,0.00332
3.8124,0.00329
3.8174,0.00326
3.8224,0.00323
3.8274,0.00320
3.8324,0.00317
3.8374,0.00314
3.8424,0.00311
3.8474,0.00308
3.8524,0.00305
3.8574,0.00302
3.8624,0.00299
3.8674,0.00296
3.8724,0.00294
3.8774,0.00291
3.8824,0.00288
3.8874,0.00285
3.8924,0.00283
3.8974,0.00280
3.9024,0.00277
3.9074,0.00275
3.9124,0.00272
3.9174,0.00270
3.9225,0.00267
